episode_id,domain,label
aPM-1,career_leadership,1
aPM-1,data_ai,1
aPM-1,decision_making,1
aPM-1,discovery_innovation,0
aPM-1,founder_mode,0
aPM-1,growth,1
aPM-1,gtm,0
aPM-1,org_team,1
aPM-1,product_strategy,0
aPM-10,career_leadership,0
aPM-10,data_ai,0
aPM-10,decision_making,1
aPM-10,discovery_innovation,1
aPM-10,founder_mode,0
aPM-10,growth,0
aPM-10,gtm,0
aPM-10,org_team,0
aPM-10,product_strategy,1
aPM-11,career_leadership,1
aPM-11,data_ai,0
aPM-11,decision_making,1
aPM-11,discovery_innovation,0
aPM-11,founder_mode,0
aPM-11,growth,1
aPM-11,gtm,1
aPM-11,org_team,0
aPM-11,product_strategy,0
aPM-12,career_leadership,1
aPM-12,data_ai,0
aPM-12,decision_making,1
aPM-12,discovery_innovation,0
aPM-12,founder_mode,0
aPM-12,growth,0
aPM-12,gtm,0
aPM-12,org_team,1
aPM-12,product_strategy,1
aPM-13,career_leadership,1
aPM-13,data_ai,1
aPM-13,decision_making,1
aPM-13,discovery_innovation,1
aPM-13,founder_mode,0
aPM-13,growth,0
aPM-13,gtm,0
aPM-13,org_team,0
aPM-13,product_strategy,1
aPM-14,career_leadership,1
aPM-14,data_ai,0
aPM-14,decision_making,1
aPM-14,discovery_innovation,1
aPM-14,founder_mode,0
aPM-14,growth,0
aPM-14,gtm,0
aPM-14,org_team,1
aPM-14,product_strategy,1
aPM-15,career_leadership,1
aPM-15,data_ai,1
aPM-15,decision_making,1
aPM-15,discovery_innovation,1
aPM-15,founder_mode,1
aPM-15,growth,1
aPM-15,gtm,0
aPM-15,org_team,1
aPM-15,product_strategy,1
aPM-16,career_leadership,1
aPM-16,data_ai,1
aPM-16,decision_making,1
aPM-16,discovery_innovation,0
aPM-16,founder_mode,1
aPM-16,growth,0
aPM-16,gtm,0
aPM-16,org_team,1
aPM-16,product_strategy,0
aPM-17,career_leadership,0
aPM-17,data_ai,0
aPM-17,decision_making,1
aPM-17,discovery_innovation,0
aPM-17,founder_mode,1
aPM-17,growth,0
aPM-17,gtm,0
aPM-17,org_team,0
aPM-17,product_strategy,0
aPM-18,career_leadership,1
aPM-18,data_ai,1
aPM-18,decision_making,0
aPM-18,discovery_innovation,1
aPM-18,founder_mode,0
aPM-18,growth,0
aPM-18,gtm,0
aPM-18,org_team,0
aPM-18,product_strategy,0
aPM-19,career_leadership,0
aPM-19,data_ai,0
aPM-19,decision_making,1
aPM-19,discovery_innovation,0
aPM-19,founder_mode,0
aPM-19,growth,0
aPM-19,gtm,0
aPM-19,org_team,0
aPM-19,product_strategy,1
aPM-2,career_leadership,1
aPM-2,data_ai,1
aPM-2,decision_making,1
aPM-2,discovery_innovation,1
aPM-2,founder_mode,1
aPM-2,growth,0
aPM-2,gtm,0
aPM-2,org_team,0
aPM-2,product_strategy,0
aPM-20,career_leadership,0
aPM-20,data_ai,0
aPM-20,decision_making,1
aPM-20,discovery_innovation,0
aPM-20,founder_mode,0
aPM-20,growth,1
aPM-20,gtm,0
aPM-20,org_team,1
aPM-20,product_strategy,0
aPM-21,career_leadership,1
aPM-21,data_ai,1
aPM-21,decision_making,1
aPM-21,discovery_innovation,0
aPM-21,founder_mode,0
aPM-21,growth,1
aPM-21,gtm,0
aPM-21,org_team,0
aPM-21,product_strategy,1
aPM-22,career_leadership,0
aPM-22,data_ai,0
aPM-22,decision_making,1
aPM-22,discovery_innovation,1
aPM-22,founder_mode,0
aPM-22,growth,1
aPM-22,gtm,0
aPM-22,org_team,0
aPM-22,product_strategy,1
aPM-23,career_leadership,0
aPM-23,data_ai,0
aPM-23,decision_making,1
aPM-23,discovery_innovation,0
aPM-23,founder_mode,1
aPM-23,growth,1
aPM-23,gtm,1
aPM-23,org_team,0
aPM-23,product_strategy,0
aPM-24,career_leadership,1
aPM-24,data_ai,1
aPM-24,decision_making,0
aPM-24,discovery_innovation,1
aPM-24,founder_mode,1
aPM-24,growth,0
aPM-24,gtm,0
aPM-24,org_team,0
aPM-24,product_strategy,1
aPM-25,career_leadership,1
aPM-25,data_ai,0
aPM-25,decision_making,1
aPM-25,discovery_innovation,1
aPM-25,founder_mode,0
aPM-25,growth,1
aPM-25,gtm,1
aPM-25,org_team,0
aPM-25,product_strategy,1
aPM-26,career_leadership,1
aPM-26,data_ai,0
aPM-26,decision_making,1
aPM-26,discovery_innovation,0
aPM-26,founder_mode,0
aPM-26,growth,0
aPM-26,gtm,0
aPM-26,org_team,0
aPM-26,product_strategy,0
aPM-27,career_leadership,1
aPM-27,data_ai,0
aPM-27,decision_making,1
aPM-27,discovery_innovation,0
aPM-27,founder_mode,0
aPM-27,growth,1
aPM-27,gtm,0
aPM-27,org_team,1
aPM-27,product_strategy,1
aPM-28,career_leadership,1
aPM-28,data_ai,0
aPM-28,decision_making,1
aPM-28,discovery_innovation,1
aPM-28,founder_mode,0
aPM-28,growth,0
aPM-28,gtm,0
aPM-28,org_team,0
aPM-28,product_strategy,1
aPM-29,career_leadership,0
aPM-29,data_ai,0
aPM-29,decision_making,1
aPM-29,discovery_innovation,0
aPM-29,founder_mode,0
aPM-29,growth,0
aPM-29,gtm,0
aPM-29,org_team,0
aPM-29,product_strategy,1
aPM-3,career_leadership,1
aPM-3,data_ai,0
aPM-3,decision_making,1
aPM-3,discovery_innovation,1
aPM-3,founder_mode,1
aPM-3,growth,0
aPM-3,gtm,0
aPM-3,org_team,0
aPM-3,product_strategy,1
aPM-30,career_leadership,0
aPM-30,data_ai,1
aPM-30,decision_making,1
aPM-30,discovery_innovation,0
aPM-30,founder_mode,0
aPM-30,growth,0
aPM-30,gtm,0
aPM-30,org_team,1
aPM-30,product_strategy,0
aPM-31,career_leadership,1
aPM-31,data_ai,0
aPM-31,decision_making,1
aPM-31,discovery_innovation,1
aPM-31,founder_mode,0
aPM-31,growth,1
aPM-31,gtm,0
aPM-31,org_team,0
aPM-31,product_strategy,1
aPM-32,career_leadership,1
aPM-32,data_ai,0
aPM-32,decision_making,1
aPM-32,discovery_innovation,0
aPM-32,founder_mode,0
aPM-32,growth,0
aPM-32,gtm,0
aPM-32,org_team,1
aPM-32,product_strategy,1
aPM-33,career_leadership,0
aPM-33,data_ai,0
aPM-33,decision_making,1
aPM-33,discovery_innovation,1
aPM-33,founder_mode,0
aPM-33,growth,1
aPM-33,gtm,1
aPM-33,org_team,0
aPM-33,product_strategy,1
aPM-34,career_leadership,0
aPM-34,data_ai,0
aPM-34,decision_making,1
aPM-34,discovery_innovation,0
aPM-34,founder_mode,0
aPM-34,growth,0
aPM-34,gtm,0
aPM-34,org_team,0
aPM-34,product_strategy,1
aPM-35,career_leadership,0
aPM-35,data_ai,0
aPM-35,decision_making,1
aPM-35,discovery_innovation,0
aPM-35,founder_mode,0
aPM-35,growth,0
aPM-35,gtm,0
aPM-35,org_team,0
aPM-35,product_strategy,0
aPM-36,career_leadership,0
aPM-36,data_ai,0
aPM-36,decision_making,1
aPM-36,discovery_innovation,1
aPM-36,founder_mode,0
aPM-36,growth,0
aPM-36,gtm,0
aPM-36,org_team,1
aPM-36,product_strategy,1
aPM-37,career_leadership,0
aPM-37,data_ai,0
aPM-37,decision_making,1
aPM-37,discovery_innovation,1
aPM-37,founder_mode,1
aPM-37,growth,1
aPM-37,gtm,0
aPM-37,org_team,0
aPM-37,product_strategy,1
aPM-38,career_leadership,1
aPM-38,data_ai,1
aPM-38,decision_making,1
aPM-38,discovery_innovation,0
aPM-38,founder_mode,0
aPM-38,growth,0
aPM-38,gtm,0
aPM-38,org_team,1
aPM-38,product_strategy,0
aPM-39,career_leadership,0
aPM-39,data_ai,0
aPM-39,decision_making,1
aPM-39,discovery_innovation,1
aPM-39,founder_mode,0
aPM-39,growth,0
aPM-39,gtm,0
aPM-39,org_team,1
aPM-39,product_strategy,1
aPM-4,career_leadership,0
aPM-4,data_ai,1
aPM-4,decision_making,1
aPM-4,discovery_innovation,0
aPM-4,founder_mode,0
aPM-4,growth,0
aPM-4,gtm,0
aPM-4,org_team,1
aPM-4,product_strategy,0
aPM-40,career_leadership,0
aPM-40,data_ai,0
aPM-40,decision_making,1
aPM-40,discovery_innovation,0
aPM-40,founder_mode,0
aPM-40,growth,0
aPM-40,gtm,0
aPM-40,org_team,0
aPM-40,product_strategy,1
aPM-41,career_leadership,1
aPM-41,data_ai,0
aPM-41,decision_making,0
aPM-41,discovery_innovation,1
aPM-41,founder_mode,1
aPM-41,growth,0
aPM-41,gtm,0
aPM-41,org_team,0
aPM-41,product_strategy,0
aPM-42,career_leadership,1
aPM-42,data_ai,0
aPM-42,decision_making,1
aPM-42,discovery_innovation,0
aPM-42,founder_mode,0
aPM-42,growth,0
aPM-42,gtm,0
aPM-42,org_team,1
aPM-42,product_strategy,1
aPM-43,career_leadership,1
aPM-43,data_ai,0
aPM-43,decision_making,1
aPM-43,discovery_innovation,1
aPM-43,founder_mode,0
aPM-43,growth,0
aPM-43,gtm,0
aPM-43,org_team,0
aPM-43,product_strategy,0
aPM-44,career_leadership,1
aPM-44,data_ai,0
aPM-44,decision_making,1
aPM-44,discovery_innovation,0
aPM-44,founder_mode,0
aPM-44,growth,0
aPM-44,gtm,0
aPM-44,org_team,1
aPM-44,product_strategy,1
aPM-45,career_leadership,0
aPM-45,data_ai,1
aPM-45,decision_making,1
aPM-45,discovery_innovation,1
aPM-45,founder_mode,0
aPM-45,growth,0
aPM-45,gtm,0
aPM-45,org_team,0
aPM-45,product_strategy,0
aPM-46,career_leadership,1
aPM-46,data_ai,0
aPM-46,decision_making,1
aPM-46,discovery_innovation,0
aPM-46,founder_mode,1
aPM-46,growth,0
aPM-46,gtm,0
aPM-46,org_team,0
aPM-46,product_strategy,1
aPM-47,career_leadership,0
aPM-47,data_ai,0
aPM-47,decision_making,1
aPM-47,discovery_innovation,0
aPM-47,founder_mode,0
aPM-47,growth,0
aPM-47,gtm,0
aPM-47,org_team,1
aPM-47,product_strategy,1
aPM-48,career_leadership,0
aPM-48,data_ai,1
aPM-48,decision_making,1
aPM-48,discovery_innovation,0
aPM-48,founder_mode,0
aPM-48,growth,1
aPM-48,gtm,0
aPM-48,org_team,0
aPM-48,product_strategy,1
aPM-49,career_leadership,1
aPM-49,data_ai,0
aPM-49,decision_making,1
aPM-49,discovery_innovation,0
aPM-49,founder_mode,0
aPM-49,growth,0
aPM-49,gtm,0
aPM-49,org_team,0
aPM-49,product_strategy,1
aPM-5,career_leadership,0
aPM-5,data_ai,1
aPM-5,decision_making,1
aPM-5,discovery_innovation,1
aPM-5,founder_mode,0
aPM-5,growth,0
aPM-5,gtm,0
aPM-5,org_team,0
aPM-5,product_strategy,1
aPM-50,career_leadership,1
aPM-50,data_ai,0
aPM-50,decision_making,1
aPM-50,discovery_innovation,0
aPM-50,founder_mode,0
aPM-50,growth,1
aPM-50,gtm,1
aPM-50,org_team,0
aPM-50,product_strategy,0
aPM-6,career_leadership,1
aPM-6,data_ai,1
aPM-6,decision_making,1
aPM-6,discovery_innovation,1
aPM-6,founder_mode,0
aPM-6,growth,1
aPM-6,gtm,0
aPM-6,org_team,0
aPM-6,product_strategy,1
aPM-7,career_leadership,0
aPM-7,data_ai,1
aPM-7,decision_making,1
aPM-7,discovery_innovation,1
aPM-7,founder_mode,0
aPM-7,growth,0
aPM-7,gtm,0
aPM-7,org_team,0
aPM-7,product_strategy,1
aPM-8,career_leadership,0
aPM-8,data_ai,0
aPM-8,decision_making,1
aPM-8,discovery_innovation,0
aPM-8,founder_mode,1
aPM-8,growth,1
aPM-8,gtm,1
aPM-8,org_team,0
aPM-8,product_strategy,1
aPM-9,career_leadership,1
aPM-9,data_ai,1
aPM-9,decision_making,1
aPM-9,discovery_innovation,0
aPM-9,founder_mode,1
aPM-9,growth,0
aPM-9,gtm,0
aPM-9,org_team,0
aPM-9,product_strategy,1